feature,CD,HYP,MI,NORM,STTC,mean_importance,feature_type
clinical_rr_mean_ms,0.0,0.23242953285414839,0.3230305274813781,0.46333471609816734,0.3738022210979829,0.2785193995063354,clinical
clinical_lead5_qrs_max_mean,0.0,0.8524711335078414,0.0564151402731696,0.3537242116929032,0.12768066463729502,0.27805823002224184,clinical
clinical_r_amp_mean,0.0,0.1919160229276317,0.5604588243655652,0.44788323303095745,0.1786675575025579,0.2757851275653424,clinical
clinical_lead7_q_depth_mean,0.2105730269786369,0.347532913721726,0.40558616926472385,0.24772453413305395,0.16240433178769578,0.2747641951771673,clinical
lead9_spec_entropy,0.0,0.10037005559471103,0.9310986507538462,0.15686223669770769,0.18539041927554695,0.2747442724643624,baseline
clinical_lead12_qrs_max_mean,0.18112123684072065,0.46555188461946584,0.10345985418256651,0.09190862355431284,0.5099288351194206,0.2703940868632973,clinical
lead11_skew,0.3489576891190087,0.28643681272149213,0.13812515292825728,0.35155954379458554,0.2120383352531868,0.26742350676330606,baseline
clinical_lead2_q_depth_mean,0.0,0.0,0.8140092035853435,0.30738276671870235,0.21569602714625633,0.2674175994900604,clinical
clinical_lead9_t_amp_mean,0.21296478785956566,0.04166096258751747,0.33381136862994265,0.43630538880685654,0.3051236810823448,0.26597323779324544,clinical
lead11_range,0.13732807833900448,0.39859742902835205,0.12637189540393085,0.1721777460006411,0.4912410762823715,0.26514324501086,baseline
lead1_spec_entropy,0.2177734760367887,0.1605661686955521,0.4105381877638128,0.2237299680834237,0.26633699094288504,0.25578895830449244,baseline
lead4_median,0.6119964757623697,0.11426466390172439,0.3777948042630413,0.06478992404980909,0.09250425841000418,0.25227002527738973,baseline
global_mean_std,0.0,0.869193148346825,0.0846852545068966,0.302185635166855,0.0,0.2512128076041153,baseline
lead2_hf2_energy,0.0,0.11432668056523206,0.6551235803891524,0.15988503844964766,0.3072241912358212,0.24731189812797066,baseline
lead12_min,0.36857552234480007,0.34499052465585406,0.2898260325380791,0.06885519626413601,0.15191367875336656,0.24483219091124714,baseline
lead1_hf2_energy,0.0,0.8470683960439779,0.0,0.33388359547933116,0.03855394608549676,0.24390118752176115,baseline
clinical_lead12_q_depth_mean,0.10675688487397045,0.26720276219715283,0.47684949418570816,0.21780743658960475,0.13071169906884475,0.2398656553830562,clinical
clinical_lead11_qrs_min_mean,0.538626188910686,0.12124814809426146,0.25158118532389445,0.1734974499097841,0.11020025390139512,0.2390306452280042,clinical
global_energy_total,0.0,0.8470110658604448,0.09391596871672694,0.12245035672184547,0.12636612092118998,0.23794870244404143,baseline
lead9_median,0.0,0.16054511092726975,0.19820968583163154,0.4817971059488793,0.3310760357734969,0.2343255876962555,baseline
lead7_max,0.6395803340856409,0.060198881916631634,0.3790963771140416,0.05740030831288843,0.03032769843490899,0.2333207199728223,baseline
clinical_lead12_qrs_ptp_mean,0.0,0.8623019751239729,0.06135567404678948,0.1499998218735637,0.072980247058426,0.2293275436205504,clinical
lead5_norm_energy,0.0,0.3359720213528271,0.28149262705920003,0.522941211517506,0.0,0.22808117198590666,baseline
sex,0.0,0.05926248701206736,0.6222718647442813,0.41583023178078143,0.0412926562378894,0.22773144795500394,baseline
clinical_lead7_qrs_min_mean,0.5255607597669583,0.42586261028777656,0.0,0.11150015800438,0.06603295925680532,0.22579129746318402,clinical
clinical_lead5_t_amp_mean,0.11090916351138273,0.04356894659828807,0.2144644227609346,0.23466959808809815,0.5247817780711741,0.2256787818059755,clinical
lead8_autocorr1,0.0,0.18175417183081913,0.315013129965827,0.05687257790540727,0.5723871672185419,0.225205409384119,baseline
clinical_lead10_q_width_mean_ms,0.4166279059284743,0.09678728942082243,0.025643922899965827,0.2162120482210115,0.3537751256343945,0.22180925842093374,clinical
