feature,perm_mean_CD,perm_std_CD,perm_mean_HYP,perm_std_HYP,perm_mean_MI,perm_std_MI,perm_mean_NORM,perm_std_NORM,perm_mean_STTC,perm_std_STTC,perm_mean_global,perm_std_global,builtin_mean_importance,feature_type
clinical_q_depth_global_mean,0.0,0.0,0.0007168466625932402,0.0006559417118652293,0.0005484980999398981,0.0011806354531629232,0.00037554901539440524,0.00036980832295652264,-1.5223457743862579e-05,0.0003398002341596547,0.00032513406403673624,0.000509237144428866,0.36150022803517573,clinical
lead9_dom_freq,0.0,0.0,-0.00019987782842620928,9.259227559831707e-05,-0.00017857907894091029,0.00038568848382653756,2.680347102145264e-05,3.550968058740743e-05,0.0019632533815362673,0.0012237703374002543,0.00032231998903812007,0.00034751215548250324,0.1708832904351918,baseline
lead2_autocorr1,0.0005522222258050657,0.00027510658029501436,0.0013772828604698307,0.0004821321073128605,0.0,0.0,0.0,0.0,-0.00032991110099176433,0.000505049436414971,0.00031991879705662636,0.0002524576248045692,0.06266559146851834,baseline
clinical_st_deviation_global_mean,0.000620554583046029,0.00033701345848260116,0.0008852084521722258,0.00022678997824256624,0.0002779356913647169,0.0003554871779101123,7.70060865784461e-05,4.307212588750821e-05,-0.00026334994847344585,0.0004444123126552216,0.0003194709729375944,0.0002813550106356019,0.09315784416743596,clinical
clinical_lead3_q_r_ratio_mean,0.0,0.0,0.0005536156858295338,0.00016106139191168344,0.0007542634131246118,0.0004923190585861891,-4.66810925526473e-05,6.256848276391226e-05,0.00031774956192893723,0.00041870024573673157,0.0003157895136660871,0.00022692983579970325,0.10097349344106347,clinical
clinical_lead9_t_amp_mean,0.0011027685626792793,0.0004933678966972569,4.802701148892696e-05,0.00020713964923665083,5.533064621738859e-05,0.00021470823700463427,0.000183631432789344,0.00012621333817862399,0.00018747016607265632,0.0005108218343990641,0.000315445563849519,0.00031045019110324606,0.26597323779324544,clinical
clinical_lead4_pathologic_q_ratio,0.00014077729690810116,0.00043021038445123576,0.0010690982703681518,0.0003202152276034568,-0.0003392715172284899,0.00020817974186522034,0.00015179246344193542,0.000140673353028857,0.0005535463440172195,0.00018900966899322436,0.00031518857150138354,0.00025765767518839885,0.1703883868385726,clinical
clinical_lead6_t_amp_mean,0.0,0.0,0.000518136965897309,0.0010108912208110627,0.0002547960603268895,0.00024284811716230776,2.82329873412257e-05,4.358524217049176e-05,0.0007621819784709438,0.0002538998772280065,0.0003126695984072736,0.00031024489147437375,0.1656940610143745,clinical
lead5_autocorr1,0.0,0.0,0.0009667883287547529,0.0009916338328310838,0.00044666802208305213,0.00039272708969784995,1.2970132525913503e-05,7.313287817698385e-05,9.796912311573757e-05,0.00022651919686336196,0.0003048791212958912,0.0003368025995138559,0.13846294274080112,baseline
clinical_lead11_q_depth_mean,0.0,0.0,0.00011813511723089976,0.00033662878727200546,0.0007051590486989335,0.0002225517540985723,9.541369592395155e-05,9.11308226268469e-05,0.0006055569327165888,0.00026003684838420924,0.0003048529589140747,0.00018206964247632676,0.06757583620793525,clinical
clinical_qt_interval_mean_ms,0.0,0.0,0.0004933332972304249,0.0005800092790542858,-3.772826736166968e-05,7.610290065047699e-05,4.239293449080917e-05,0.00021093961933365234,0.0010068258525855688,0.0003880194208041874,0.00030096476338902666,0.00025101424396852055,0.11484292927846225,clinical
lead12_max,-0.0002673899044322581,0.0003673301462458089,0.001318456700180526,0.0005997142657074959,-6.345327070694795e-05,0.00033308721493710656,3.3614363936462774e-05,2.9689359040716574e-05,0.0004467584017118109,0.0009333463394138698,0.00029359725813791874,0.00045263346506899956,0.1841263584109998,baseline
clinical_lead1_pathologic_q_ratio,0.0,0.0,0.0008475849477762476,0.00046470102674627976,0.00016716877591409495,0.00019998252347278744,0.0,0.0,0.00044179888753096417,0.0004064040982782965,0.0002913105222442614,0.00021421752969947276,0.0747066380551243,clinical
clinical_lead9_q_r_ratio_mean,0.00019335394063154653,0.0001833347395156783,0.0009476575000783805,0.00023949884339801957,0.0005370195568721869,0.000648331659251611,0.0,0.0,-0.000248361512794848,0.00043007483109354036,0.00028593389695745323,0.00030024801465176984,0.12622952899196987,clinical
clinical_lead12_qrs_min_mean,0.0002993202816220952,0.000310616006164211,0.0006469616609176221,0.00015626872802628985,0.0004616102706578973,0.00022029628837109963,0.0,0.0,1.9437428924973244e-05,7.921141887006751e-05,0.00028546592842451754,0.00015327848828633359,0.09081310332760476,clinical
